bundle,name,prefix,action,part,set_id,direction,frame,offset_x,offset_y,draw_x_formula,draw_y_formula,has_embedded_texture,width,height,texture_format,sprite_pivot_x,sprite_pivot_y,pixels_per_unit
shirt_m_checks,h_std_ls_2100_0_0,h,std,ls,2100,0,0,-16,47,-offset_x,-offset_y,True,6,21,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2100_1_0,h,std,ls,2100,1,0,-27,44,-offset_x,-offset_y,True,10,21,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2100_7_0,h,std,ch,2100,7,0,-22,46,-offset_x,-offset_y,True,23,33,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2100_1_0,h,std,ch,2100,1,0,-23,47,-offset_x,-offset_y,True,18,33,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2100_0_0,h,std,ch,2100,0,0,-20,48,-offset_x,-offset_y,True,23,36,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2100_3_0,h,std,ch,2100,3,0,-22,49,-offset_x,-offset_y,True,23,35,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2100_3_0,h,std,rs,2100,3,0,-16,48,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2100_3_0,h,std,ls,2100,3,0,-42,48,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2100_2_0,h,std,ls,2100,2,0,-45,47,-offset_x,-offset_y,True,4,19,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2100_2_0,h,std,ch,2100,2,0,-21,48,-offset_x,-offset_y,True,24,34,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2100_2_0,h,std,rs,2100,2,0,-18,46,-offset_x,-offset_y,True,10,24,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2100_1_0,h,std,rs,2100,1,0,-27,42,-offset_x,-offset_y,True,10,22,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2100_0_0,h,std,rs,2100,0,0,-37,43,-offset_x,-offset_y,True,10,25,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2100_7_0,h,std,rs,2100,7,0,-42,45,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2100_7_0,h,std,ls,2100,7,0,-16,45,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2101_0_0,h,std,ls,2101,0,0,-18,46,-offset_x,-offset_y,True,3,19,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2101_1_0,h,std,ls,2101,1,0,-27,41,-offset_x,-offset_y,True,9,18,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2101_3_0,h,std,rs,2101,3,0,-17,48,-offset_x,-offset_y,True,8,23,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2101_3_0,h,std,ls,2101,3,0,-42,48,-offset_x,-offset_y,True,8,23,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2101_2_0,h,std,ls,2101,2,0,-45,46,-offset_x,-offset_y,True,3,17,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2101_2_0,h,std,rs,2101,2,0,-19,45,-offset_x,-offset_y,True,9,22,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2101_1_0,h,std,rs,2101,1,0,-27,41,-offset_x,-offset_y,True,9,20,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2101_0_0,h,std,rs,2101,0,0,-37,43,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_std_rs_2101_7_0,h,std,rs,2101,7,0,-42,44,-offset_x,-offset_y,True,8,22,4,0.5,0.5,100.0
shirt_m_checks,h_std_ls_2101_7_0,h,std,ls,2101,7,0,-17,44,-offset_x,-offset_y,True,8,22,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2101_7_0,h,std,ch,2101,7,0,-22,45,-offset_x,-offset_y,True,23,31,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2101_1_0,h,std,ch,2101,1,0,-24,46,-offset_x,-offset_y,True,16,31,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2101_0_0,h,std,ch,2101,0,0,-20,47,-offset_x,-offset_y,True,22,34,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2101_3_0,h,std,ch,2101,3,0,-22,48,-offset_x,-offset_y,True,23,33,4,0.5,0.5,100.0
shirt_m_checks,h_std_ch_2101_2_0,h,std,ch,2101,2,0,-22,47,-offset_x,-offset_y,True,23,32,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_0_0,h,wlk,ls,2100,0,0,-16,48,-offset_x,-offset_y,True,6,22,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_0_1,h,wlk,ls,2100,0,1,-17,47,-offset_x,-offset_y,True,8,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_0_2,h,wlk,ls,2100,0,2,-16,47,-offset_x,-offset_y,True,6,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_0_3,h,wlk,ls,2100,0,3,-14,47,-offset_x,-offset_y,True,8,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_0_0,h,wlk,rs,2100,0,0,-36,43,-offset_x,-offset_y,True,11,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_0_1,h,wlk,rs,2100,0,1,-34,43,-offset_x,-offset_y,True,11,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_0_2,h,wlk,rs,2100,0,2,-36,44,-offset_x,-offset_y,True,10,25,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_0_3,h,wlk,rs,2100,0,3,-36,43,-offset_x,-offset_y,True,13,22,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_2_0,h,wlk,ls,2100,2,0,-43,48,-offset_x,-offset_y,True,5,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_2_1,h,wlk,ls,2100,2,1,-43,48,-offset_x,-offset_y,True,9,22,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_2_2,h,wlk,ls,2100,2,2,-43,48,-offset_x,-offset_y,True,5,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_2_3,h,wlk,ls,2100,2,3,-42,48,-offset_x,-offset_y,True,5,15,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_2_0,h,wlk,rs,2100,2,0,-17,46,-offset_x,-offset_y,True,11,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_2_1,h,wlk,rs,2100,2,1,-15,46,-offset_x,-offset_y,True,13,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_2_2,h,wlk,rs,2100,2,2,-17,46,-offset_x,-offset_y,True,11,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_2_3,h,wlk,rs,2100,2,3,-19,46,-offset_x,-offset_y,True,13,25,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_1_0,h,wlk,ls,2100,1,0,-26,44,-offset_x,-offset_y,True,10,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_1_1,h,wlk,ls,2100,1,1,-27,44,-offset_x,-offset_y,True,14,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_1_2,h,wlk,ls,2100,1,2,-26,44,-offset_x,-offset_y,True,10,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_1_3,h,wlk,ls,2100,1,3,-21,44,-offset_x,-offset_y,True,13,20,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_1_0,h,wlk,rs,2100,1,0,-26,42,-offset_x,-offset_y,True,10,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_1_1,h,wlk,rs,2100,1,1,-21,43,-offset_x,-offset_y,True,13,22,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_1_2,h,wlk,rs,2100,1,2,-26,42,-offset_x,-offset_y,True,10,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_1_3,h,wlk,rs,2100,1,3,-27,42,-offset_x,-offset_y,True,14,21,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_3_0,h,wlk,rs,2100,3,0,-16,48,-offset_x,-offset_y,True,9,23,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_3_1,h,wlk,rs,2100,3,1,-16,49,-offset_x,-offset_y,True,9,23,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_3_2,h,wlk,rs,2100,3,2,-16,48,-offset_x,-offset_y,True,9,23,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_rs_2100_3_3,h,wlk,rs,2100,3,3,-16,48,-offset_x,-offset_y,True,9,23,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_3_0,h,wlk,ls,2100,3,0,-42,49,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_3_1,h,wlk,ls,2100,3,1,-42,49,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
shirt_m_checks,h_wlk_ls_2100_3_2,h,wlk,ls,2100,3,2,-42,49,-offset_x,-offset_y,True,9,24,4,0.5,0.5,100.0
